No,StarYear,"PlotCode",Name,Province,Amphoe,Tambon,Type,Lat,Lon,GMap,Tag_Count,SP_Count,Shanon,Biomass
176,2025,S82-25-P01,สวนสมเด็จพระศรีนครินทร์,พังงา,เมืองพังงา,ท้ายช้าง,P,8.43622,98.51783,"https://www.google.com/maps?t=k&q=8.43622,98.51783",63,10,1.56,"3,395.54"
177,2025,S82-25-S01,ศูนย์ออกกำลังกายเพื่อสุขภาพ,พังงา,เมืองพังงา,ท้ายช้าง,S,8.45009,98.53475,"https://www.google.com/maps?t=k&q=8.45009,98.53475",23,6,1.36,"36,391.15"
178,2025,S83-25-M01,สวนสะพานหิน,ภูเก็ต,เมืองภูเก็ต,ตลาดใหญ่,M,7.86439,98.40072,"https://www.google.com/maps?t=k&q=7.86439,98.40072",30,1,0.00,"37,406.29"
179,2025,S83-25-P01,สวนเฉลิมพระเกียรติจังหวัดภูเก็ต,ภูเก็ต,เมืองภูเก็ต,ตลาดเหนือ,P,7.87364,98.37684,"https://www.google.com/maps?t=k&q=7.87364,98.37684",33,10,1.82,"16,587.28"
180,2023,S84-01-M01,วัดพัฒนาราม,สุราษฎร์ธานี,เมืองสุราษฎร์ธานี,ตลาด,M,9.14767,99.32854,"https://www.google.com/maps?t=k&q=9.14767,99.328536",34,19,2.79,"45,297.21"
181,2023,S84-01-P01,สวนหลวง ร.9 สุราษฎร์ธานี,สุราษฎร์ธานี,เมืองสุราษฎร์ธานี,มะขามเตี้ย,P,9.13862,99.35063,"https://www.google.com/maps?t=k&q=9.138618,99.350633",22,13,2.41,"5,670.97"
182,2023,S85-01-M01,ศาลากลางเก่า,ระนอง,เมืองระนอง,เขานิเวศน์,M,9.96626,98.63499,"https://www.google.com/maps?t=k&q=9.966263,98.634992",113,26,2.88,"45,909.72"
183,2023,S85-01-M02,พระราชวังรันตนรังสรรค์,ระนอง,เมืองระนอง,เขานิเวศน์,M,9.96521,98.63717,"https://www.google.com/maps?t=k&q=9.965206,98.637166",38,21,2.97,"59,328.64"
184,2025,S86-25-M01,วัดนาทุ่ง,ชุมพร,เมืองชุมพร,นาทุ่ง,M,10.50229,99.2013,"https://www.google.com/maps?t=k&q=10.50229,99.201295",76,26,2.73,"36,180.53"
185,2025,S86-25-P01,สวนอาภากรเกียรติวงศ์,ชุมพร,เมืองชุมพร,ท่าตะเภา,P,10.49761,99.18952,"https://www.google.com/maps?t=k&q=10.49761,99.18952",26,8,1.81,"24,828.33"
